Trial-ID,Status,Iteration,decay,dense_units,dropout,learning_rate,lstm_units,Objective
1,INTERMEDIATE,0,1.60468259325176e-05,83,0.34858544865805124,0.014876604404929607,81,0.03420063480734825
1,INTERMEDIATE,1,1.60468259325176e-05,83,0.34858544865805124,0.014876604404929607,81,0.03382724151015282
1,INTERMEDIATE,2,1.60468259325176e-05,83,0.34858544865805124,0.014876604404929607,81,0.03370976075530052
1,INTERMEDIATE,3,1.60468259325176e-05,83,0.34858544865805124,0.014876604404929607,81,0.033628519624471664
1,INTERMEDIATE,4,1.60468259325176e-05,83,0.34858544865805124,0.014876604404929607,81,0.03369061276316643
1,COMPLETED,4,1.60468259325176e-05,83,0.34858544865805124,0.014876604404929607,81,0.033628519624471664
2,INTERMEDIATE,0,2.299355193581599e-06,116,0.4597948241832973,0.09854416045886331,146,
2,INTERMEDIATE,1,2.299355193581599e-06,116,0.4597948241832973,0.09854416045886331,146,
2,INTERMEDIATE,2,2.299355193581599e-06,116,0.4597948241832973,0.09854416045886331,146,
2,INTERMEDIATE,3,2.299355193581599e-06,116,0.4597948241832973,0.09854416045886331,146,
2,INTERMEDIATE,4,2.299355193581599e-06,116,0.4597948241832973,0.09854416045886331,146,
3,INTERMEDIATE,0,2.82357260537389e-07,187,0.40002075941295256,0.0006370464747590707,62,0.016049150377511978
3,INTERMEDIATE,1,2.82357260537389e-07,187,0.40002075941295256,0.0006370464747590707,62,0.01571468822658062
3,INTERMEDIATE,2,2.82357260537389e-07,187,0.40002075941295256,0.0006370464747590707,62,0.011070228181779385
3,INTERMEDIATE,3,2.82357260537389e-07,187,0.40002075941295256,0.0006370464747590707,62,0.009833126328885555
3,INTERMEDIATE,4,2.82357260537389e-07,187,0.40002075941295256,0.0006370464747590707,62,0.009318964555859566
3,COMPLETED,4,2.82357260537389e-07,187,0.40002075941295256,0.0006370464747590707,62,0.009318964555859566
4,INTERMEDIATE,0,2.832919136603802e-05,53,0.13463284171136636,0.0019900385772040987,91,0.015189998783171177
4,INTERMEDIATE,1,2.832919136603802e-05,53,0.13463284171136636,0.0019900385772040987,91,0.011276530101895332
4,INTERMEDIATE,2,2.832919136603802e-05,53,0.13463284171136636,0.0019900385772040987,91,0.010065814480185509
4,INTERMEDIATE,3,2.832919136603802e-05,53,0.13463284171136636,0.0019900385772040987,91,0.01167821791023016
4,INTERMEDIATE,4,2.832919136603802e-05,53,0.13463284171136636,0.0019900385772040987,91,0.0098636569455266
4,COMPLETED,4,2.832919136603802e-05,53,0.13463284171136636,0.0019900385772040987,91,0.0098636569455266
5,INTERMEDIATE,0,0.007794575329327035,128,0.3227607327110159,0.004400222013118766,162,0.04072055593132973
5,INTERMEDIATE,1,0.007794575329327035,128,0.3227607327110159,0.004400222013118766,162,0.0292610302567482
5,INTERMEDIATE,2,0.007794575329327035,128,0.3227607327110159,0.004400222013118766,162,0.023068804293870926
5,INTERMEDIATE,3,0.007794575329327035,128,0.3227607327110159,0.004400222013118766,162,0.026250051334500313
